а	a
ашна	a sh n a
ашнот	a sh n o t
ашон	a sh o n
ашпеназа	a sh p e n a z a
аштарот	a sh t a r o t
аштароті	a sh t a r o tj i
аштерот	a sh t e r o t
аштерянин	a sh t e rj a n y n
ашуреянином	a sh u r e a n y n o m
ашхура	a sh x u r a
ашшур	a sh sh u r
ашшура	a sh sh u r a
ашшуре	a sh sh u r e
ашшури	a sh sh u r y
ашшуровими	a sh sh u r o w y m y
ашшурових	a sh sh u r o w y x
ашшурові	a sh sh u r o wj i
ашшуром	a sh sh u r o m
ашшуру	a sh sh u r u
ашіму	a shj i m u
аю	a j u
аєві	a j e wj i
аєм	a j e m
аіну	a i n u
аї	a j i
аїн	a j i n
аїні	a j i nj i
аґар	a a r
аґари	a a r y
аґаро	a a r o
аґаґ	a a
аґаґа	a a a
аґаґом	a a o m
аґе	a e
аґору	a o r u
б	b
баал	b a a l
баала	b a a l a
баалат	b a a l a t
баалата	b a a l a t a
баали	b a a l y
баалу	b a a l u
баалі	b a a lj i
бааліс	b a a lj i s
баана	b a a n a
баанин	b a a n y n
бааною	b a a n o j u
баані	b a a nj i
баару	b a a r u
баасеї	b a a s e j i
баб	b a b
баба	b a b a
бабам	b a b a m
баби	b a b y
бабських	b a b sj k y x
бабувати	b a b u w a t y
бабі	b a bj i
баввай	b a w w a j
бавитимуть	b a w y t y m u tj
бавитись	b a w y t y sj
бавитися	b a w y t y sj a
бавиться	b a w y tsj tsj a
багата	b a h a t a
багате	b a h a t e
багатенно	b a h a t e n n o
багатий	b a h a t y j
багатилися	b a h a t y l y sj a
багатим	b a h a t y m
багатих	b a h a t y x
багато	b a h a t o
багатого	b a h a t o h o
багатозаколотна	b a h a t o z a k o l o t n a
багатокольоровими	b a h a t o k o lj o r o w y m y
багатократні	b a h a t o k r a tj nj i
багатокротно	b a h a t o k r o t n o
багатомилостивий	b a h a t o m y l o s t y w y j
багатому	b a h a t o m u
багатомісткий	b a h a t o mj i s t k y j
багатоножне	b a h a t o n o zh n e
багаторозумний	b a h a t o r o z u m n y j
багатохто	b a h a t o x t o
багаточинний	b a h a t o tsh y n n y j
багатства	b a h a ts t w a
багатство	b a h a ts t w o
багатством	b a h a ts t w o m
багатству	b a h a ts t w u
багатстві	b a h a ts t wj i
багатті	b a h a tj tj i
багатьма	b a h a tj m a
багатьом	b a h a tj o m
багатьома	b a h a tj o m a
багатьох	b a h a tj o x
багаті	b a h a tj i
багатів	b a h a tj i w
багатіти	b a h a tj i t y
багатіям	b a h a tj i j a m
багатіє	b a h a i j e
багач	b a h a tsh
багача	b a h a tsh a
багачеві	b a h a tsh e wj i
багачі	b a h a tshj i
багна	b a h n a
багно	b a h n o
багном	b a h n o m
багні	b a h nj i
багряницю	b a h rj a n y tsj u
багряниця	b a h rj a n y tsj a
багрянім	b a h rj a nj i m
бадьорий	b a dj o r y j
бадьорою	b a dj o r o j u
баеші	b a e shj i
бажав	b a zh a w
бажавши	b a zh a w sh y
бажай	b a zh a j
бажайте	b a zh a j t e
бажала	b a zh a l a
бажали	b a zh a l y
бажання	b a zh a nj nj a
бажанням	b a zh a nj nj a m
бажаної	b a zh a n o j i
бажань	b a zh a nj
бажати	b a zh a t y
бажаю	b a zh a j u
бажають	b a zh a j u tj
бажаючи	b a zh a j u tsh y
бажає	b a zh a j e
бажаємо	b a zh a j e m o
бажаєте	b a zh a j e t e
бажаєш	b a zh a j e sh
базікання	b a zj i k a nj nj a
базікань	b a zj i k a nj
байдак	b a j d a k
байдуже	b a j d u zh e
байками	b a j k a m y
байки	b a j k y
байок	b a j o k
байстрюк	b a j s t rj u k
бакбаккар	b a g b a k k a r
бакбукових	b a g b u k o w y x
бакбукія	b a g b u kj i j a
бакбутові	b a g b u t o wj i
бал	b a l
бала	b a l a
балак	b a l a k
балака	b a l a k a
балаканину	b a l a k a n y n u
балакають	b a l a k a j u tj
балаковим	b a l a k o w y m
балаковими	b a l a k o w y m y
балакових	b a l a k o w y x
балакові	b a l a k o wj i
балаком	b a l a k o m
балаку	b a l a k u
балаків	b a l a kj i w
балал	b a l a l
баламутили	b a l a m u t y l y
баламутять	b a l a m u tj a tj
балачки	b a l a tsh k y
балдахину	b a l d a x y n u
балки	b a l k y
бальзам	b a lj z a m
бальзамових	b a lj z a m o w y x
бальзамового	b a lj z a m o w o h o
бальзамом	b a lj z a m o m
бальзаму	b a lj z a m u
бальзамування	b a lj z a m u w a nj nj a
бама	b a m a
бамот	b a m o t
бамоту	b a m o t u
банаєвих	b a n a j e w y x
банда	b a n d a
банди	b a n d y
баньку	b a nj k u
бані	b a nj i
банієвих	b a nj i j e w y x
баніїв	b a nj i j i w
барак	b a r a k
барака	b a r a k a
бараком	b a r a k o m
бараку	b a r a k u
баран	b a r a n
барана	b a r a n a
баранами	b a r a n a m y
барани	b a r a n y
бараном	b a r a n o m
баранця	b a r a nj tsj a
баранці	b a r a nj tsj i
баранців	b a r a nj tsj i w
баранячий	b a r a nj a tsh y j
баранячим	b a r a nj a tsh y m
баранячих	b a r a nj a tsh y x
баранячого	b a r a nj a tsh o h o
баранячі	b a r a nj a tshj i
баранів	b a r a nj i w
барах	b a r a x
баредом	b a r e d o m
барзіллай	b a r zj i l l a j
барзіллая	b a r zj i l l a j a
бари	b a r y
баритись	b a r y t y sj
баритися	b a r y t y sj a
бариться	b a r y tsj tsj a
баркосових	b a r k o s o w y x
баркосові	b a r k o s o wj i
барложити	b a r l o zh y t y
барнеа	b a r n e a
барух	b a r u x
баруха	b a r u x a
барухові	b a r u x o wj i
барухом	b a r u x o m
баруху	b a r u x u
бархум	b a r x u m
барюся	b a r j u sj a
баріах	b a rj i a x
барінням	b a rj i nj nj a m
баскими	b a s k y m y
баских	b a s k y x
баскі	b a s kj i
бат	b a t
бата	b a t a
батога	b a t o h a
батогом	b a t o h o m
батька	b a tj k a
батькам	b a tj k a m
батьками	b a tj k a m y
батьках	b a tj k a x
батьки	b a tj k y
батько	b a tj k o
батькова	b a tj k o w a
батькове	b a tj k o w e
батькових	b a tj k o w y x
батькового	b a tj k o w o h o
батькову	b a tj k o w u
батькові	b a tj k o wj i
батьком	b a tj k o m
батьку	b a tj k u
батьків	b a tj kj i w
батьківський	b a tj kj i w sj k y j
батьківськими	b a tj kj i w sj k y m y
батьківських	b a tj kj i w sj k y x
батьківського	b a tj kj i w sj k o h o
батьківщини	b a tj kj i w sh tsh y n y
батів	b a tj i w
батіг	b a tj i h
бахарум	b a x a r u m
бахуріму	b a x u rj i m u
бахурімі	b a x u rj i mj i
бахут	b a x u t
бацлутових	b a ts l u t o w y x
бацлітові	b a ts lj i t o wj i
бач	b a tsh
бачать	b a tsh a tj
бачачи	b a tsh a tsh y
бачене	b a tsh e n e
бачений	b a tsh e n y j
баченням	b a tsh e nj nj a m
бачено	b a tsh e n o
баченого	b a tsh e n o h o
бачені	b a tsh e nj i
бачив	b a tsh y w
бачивши	b a tsh y w sh y
бачила	b a tsh y l a
бачили	b a tsh y l y
бачило	b a tsh y l o
бачилося	b a tsh y l o sj a
бачимо	b a tsh y m o
бачите	b a tsh y t e
бачити	b a tsh y t y
бачитиме	b a tsh y t y m e
бачитимеш	b a tsh y t y m e sh
бачитимуть	b a tsh y t y m u tj
бачитись	b a tsh y t y sj
бачить	b a tsh y tj
бачиш	b a tsh y sh
бачте	b a tsh t e
бачу	b a tsh u
баша	b a sh a
башан	b a sh a n
башанська	b a sh a nj sj k a
башанський	b a sh a nj sj k y j
башанських	b a sh a nj sj k y x
башанського	b a sh a nj sj k o h o
башанському	b a sh a nj sj k o m u
башанські	b a sh a nj sj kj i
башану	b a sh a n u
башані	b a sh a nj i
башею	b a sh e j u
башин	b a sh y n
башою	b a sh o j u
башта	b a sh t a
баштами	b a sh t a m y
баштах	b a sh t a x
башти	b a sh t y
башто	b a sh t o
баштою	b a sh t o j u
башту	b a sh t u
башті	b a sh tj i
башу	b a sh u
башшевет	b a sh sh e w e t
баші	b a shj i
бделій	b d e lj i j
бджоли	b dzh o l y
бджолу	b dzh o l u
бджіл	b dzh i l
бе	b e
беал	b e a l
беалот	b e a l o t
бевай	b e w a j
беваєвих	b e w a j e w y x
беваїв	b e w a j i w
бегемот	b e h e m o t
бегемота	b e h e m o t a
бедада	b e d a d a
бедадів	b e d a dj i w
бедан	b e d a n
бедана	b e d a n a
бедея	b e d e j a
беер	b e e r
беера	b e e r a
беерового	b e e r o w o h o
беерот	b e e r o t
бееротеянина	b e e r o t e a n y n a
беероту	b e e r o t u
бееротяни	b e e r o tj a n y
бееротянин	b e e r o tj a n y n
бееротянина	b e e r o tj a n y n a
бееру	b e e r u
беері	b e e rj i
беештера	b e e sh t e r a
без	b e z
безбожжя	b e z b o zh zhj a
безбожна	b e z b o zh n a
безбожне	b e z b o zh n e
безбожний	b e z b o zh n y j
безбожник	b e z b o zh n y k
безбожника	b e z b o zh n y k a
безбожники	b e z b o zh n y k y
безбожникові	b e z b o zh n y k o wj i
безбожнику	b e z b o zh n y k u
безбожників	b e z b o zh n y kj i w
безбожним	b e z b o zh n y m
безбожними	b e z b o zh n y m y
безбожних	b e z b o zh n y x
безбожно	b e z b o zh n o
безбожного	b e z b o zh n o h o
безбожному	b e z b o zh n o m u
безбожности	b e z b o zh n o s t y
безбожної	b e z b o zh n o j i
безбожні	b e z b o zh nj i
безбожній	b e z b o zh nj i j
безбожність	b e z b o zh nj i sj tj
безбожністю	b e z b o zh nj i sj tj u
безвадна	b e z w a d n a
безвадне	b e z w a d n e
безвадний	b e z w a d n y j
безвадних	b e z w a d n y x
безвадного	b e z w a d n o h o
безвадну	b e z w a d n u
безвадні	b e z w a dj nj i
безвартне	b e z w a r t n e
безвинно	b e z w y n n o
безвладний	b e z w l a d n y j
безвладною	b e z w l a d n o j u
безводні	b e z w o dj nj i
безвідними	b e zj wj i d n y m y
безвідному	b e zj wj i d n o m u
безглузда	b e z h l u z d a
безглуздий	b e z h l u z d y j
безглуздими	b e z h l u z d y m y
безглуздих	b e z h l u z d y x
безглуздого	b e z h l u z d o h o
безглуздя	b e z h l u zj dj a
безглузді	b e z h l u zj dj i
безголосе	b e z h o l o s e
бездоганне	b e z d o h a n n e
бездоганний	b e z d o h a n n y j
бездоганним	b e z d o h a n n y m
бездоганно	b e z d o h a n n o
бездоганною	b e z d o h a n n o j u
бездоганні	b e z d o h a nj nj i
бездорожній	b e z d o r o zh nj i j
бездушні	b e z d u sh nj i
бездітний	b e zj dj i t n y j
бездітної	b e zj dj i t n o j i
бездітні	b e zj dj i tj nj i
безек	b e z e k
безека	b e z e k a
безеку	b e z e k u
безжурні	b e z zh u r nj i
беззаборонно	b e z z a b o r o n n o
беззаконний	b e z z a k o n n y j
беззаконник	b e z z a k o n n y k
беззаконники	b e z z a k o n n y k y
беззаконників	b e z z a k o n n y kj i w
беззаконними	b e z z a k o n n y m y
беззаконних	b e z z a k o n n y x
беззаконного	b e z z a k o n n o h o
беззаконню	b e z z a k o nj nj u
беззаконня	b e z z a k o nj nj a
беззаконням	b e z z a k o nj nj a m
беззаконні	b e z z a k o nj nj i
беззаконства	b e z z a k o n s t w a
беззаконство	b e z z a k o n s t w o
беззаконцями	b e z z a k o nj tsj a m y
беззаконців	b e z z a k o nj tsj i w
безкарний	b e z k a r n y j
безклопітні	b e z k l o pj i tj nj i
безкорисливо	b e z k o r y s l y w o
безкраї	b e z k r a j i
безлад	b e z l a d
безладдя	b e z l a dj dj a
безладу	b e z l a d u
безлюдне	b e zj lj u d n e
безлюдного	b e zj lj u d n o h o
безлюдному	b e zj lj u d n o m u
безлюдну	b e zj lj u d n u
безліч	b e zj lj i tsh
безліччю	b e zj lj i tsh tshj u
безлічі	b e zj lj i tshj i
безмежно	b e z m e zh n o
безмовний	b e z m o w n y j
безмовним	b e z m o w n y m
безмовні	b e z m o w nj i
безмурного	b e z m u r n o h o
безмірна	b e zj mj i r n a
безмірне	b e zj mj i r n e
безмірно	b e zj mj i r n o
безмірною	b e zj mj i r n o j u
безмірнім	b e zj mj i r nj i m
безневинний	b e z n e w y n n y j
безневинних	b e z n e w y n n y x
безневинно	b e z n e w y n n o
безодень	b e z o d e nj
безоднею	b e z o d n e j u
безодньої	b e z o dj nj o j i
безодню	b e z o dj nj u
безодня	b e z o dj nj a
безоднями	b e z o dj nj a m y
безодні	b e z o dj nj i
безокі	b e z o kj i
