a	a1_T1
viết	j ie2_T3 t
viếtquyên	j ie2_T3 t k uy_T1 e2_T1 n
viễn	v ie2_T5 n
việc	j ie2_T6 k
viện	j ie2_T6 n
việt	j ie2_T6 t
vnch	j n ch
vntuy	j n t uy_T1
vo	j o1_T1
voi	j oi_T1
volodymyr	j o1_T1 l o1_T1 j i_T1 m i_T1 r
vong	j o1_T1 ng
voss	j o1_T1 x s
voter	j o1_T1 t e1_T1 r
voting	j o1_T1 t i_T1 ng
vòng	j o1_T1 ng
vọng	j o1_T1 ng
vp	j p
vrlh	j r l t
vu	j u1_T1
vua	j ua_T1
vui	j ui_T1
vun	j u1_T1 n
vuông	j ua_T1 ng
vùng	j u1_T1 ng
và	j a1_T2
vài	j ai_T2
vàng	j a1_T2 ng
vành	j a1_T2 nh
vào	j ao_T2
vác	j a1_T3 k
váng	j a1_T3 ng
váy	j ay_T3
vân	j a3_T1 n
vâng	v a3_T1 ng
vây	j ay3_T1
vấn	j a3_T1 n
vất	j a3_T1 t
vẫn	j a3_T1 n
vận	j a3_T1 n
vật	j a3_T1 t
vậy	j ay3_T1
vé	j e1_T3
vê	v e2_T1
vì	j i_T2
ví	j i_T3
víu	j iu_T3
vòng	j o1_T2 ng
vóc	v o1_T3 k
vô	j o2_T1
vốn	j o2_T1 n
vội	j oi2_T1
võ	j o1_T5
vùi	j ui_T2
vùng	j u1_T2 ng
văn	j a2_T1 n
vĩ	j i_T5
vĩnh	v i_T5 nh
vũ	j u1_T5
vơ	j o3_T1
vơi	j oi3_T1
với	j oi3_T1
vươn	j ua2_T1 n
vương	j ua2_T1 ng
vườn	j ua2_T1 n
vượng	j ua2_T1 ng
vượt	j ua2_T1 t
vừa	j ua2_T1
vững	j u2_T1 ng
vực	j u2_T1 k
vướng	j ua2_T3 ng
vườn	j ua2_T2 n
vượng	j ua2_T6 ng
vượt	j ua2_T6 t
vạ	j a1_T6
vạn	j a1_T6 n
vả	j a1_T4
vải	j ai_T4
vấn	j a3_T3 n
vấnđề	j a3_T3 n d2 e2_T2
vấp	v a3_T3 p
vất	v a3_T3 t
vẫn	j a3_T5 n
vận	j a3_T6 n
vật	j a3_T6 t
vậy	j ay3_T6
vắc	j a2_T3 k
vắng	j a2_T3 ng
vẹn	j e1_T6 n
vẻ	j e1_T4
vẽ	j e1_T5
vết	j e2_T3 t
về	j e2_T2
vệ	j e2_T6
vệt	j e2_T6 t
vị	j i_T6
vịt	j i_T6 t
vọn	j o1_T6 n
vọng	j o1_T6 ng
vốn	j o2_T3 n
vội	j oi2_T6
với	j oi3_T3
vời	j oi3_T2
vở	j o3_T4
vỡ	j o3_T5
vợ	j o3_T6
vụ	j u1_T6
vứt	j u2_T3 t
vừa	j ua2_T2
vững	j u2_T5 ng
vực	j u2_T6 k
vỹ	j i_T5
w	v
wagga	ua_T1 g g a1_T1
wales	ua_T1 l e1_T3 s
walters	ua_T1 l t o3_T1 s
washington	ua_T1 s i_T1 nh t o1_T1 n
watson	ua_T1 t s o1_T1 n
wayana	ua_T1 i_T1 a1_T1 n a1_T1
weary	oe_T3 a1_T1 r i_T1
web	o1_T1 e1_T3 p
whatsapp	o1_T1 a1_T1 t s a1_T1 p p
when	o1_T1 e1_T1 n
white	o1_T1 h ai_T1
who	o1_T1 o1_T3
wickrematunga	o1_T1 ai_T1 k k o2_T1 m a1_T1 t u1_T1 ng a1_T1
wickremeinghe	o1_T1 ai_T1 k k o2_T1 m i_T1 ng e1_T1
wickremeshinge	o1_T1 ai_T1 k k o2_T1 m e1_T1 s i_T1 n g e1_T1
wicramasinghe	o1_T1 ai_T1 k d1 a1_T1 m a1_T3 s i_T1 ng e1_T1
widodo	o1_T1 ai_T1 d2 d2 o2_T1
wikileaks	o1_T1 ai_T1 k i_T1 l e1_T3 a1_T1 k s
wileaks	o1_T1 ai_T1 l e1_T3 a1_T1 k s
will	o1_T1 ai_T1 n
william	o1_T1 ai_T1 eo_T1 i_T1 a1_T1 m
williamson	o1_T1 ai_T1 eo_T1 ie2_T1 m x o1_T1 n
wilson	o1_T1 ai_T1 l x o1_T1 n
windsor	o1_T1 ai_T1 n d2 o2_T1 t o3_T1
wisata	o1_T1 ai_T1 s t a1_T1
without	o1_T1 ai_T1 t o1_T3 u1_T1 t
wong	o1_T1 o1_T1 ng
wood	o1_T1 o1_T1 o1_T1 d1
works	o1_T1 o2_T1 k s
world	o1_T1 o2_T1 d2
xa	x a1_T1
xanh	x a1_T1 nh
xao	x ao_T1
xào	x ao_T1
xác	x a1_T1 k
xám	x a1_T1 m
xáo	x ao_T1
xảy	x ay_T1
xe	x e1_T1
xem	x e1_T1 m
xét	x e1_T1 t
xin	x i_T1 n
xinh	x i_T1 nh
xỉa	x i_T1 a1_T1
xịt	x i_T3 t
xoay	x oa_T1 i_T1
xong	x o1_T1 ng
xoáy	x oa_T3 i_T1
xót	x o1_T1 t
xu	x u1_T1
xung	x u1_T1 ng
xuyên	x uy_T1 e2_T1 n
xuân	x u1_T1 a3_T1 n
xuất	x u1_T1 a3_T1 t
xuông	x ua_T1 ng
xuống	x ua_T1 ng
xúc	x u1_T1 k
xuất	x ua_T3 t
xuống	x ua_T3 ng
xài	x ai_T2
xào	x ao_T2
xác	x a1_T3 k
xáctuy	x a1_T3 k t uy_T1
xáo	x ao_T3
xâm	x a3_T1 m
xây	x ay3_T1
xấu	x au3_T1
xã	x a1_T5
xéo	x eo_T3
xét	x e1_T3 t
xếp	x e2_T1 p
xíu	x iu_T3
xóa	x oa_T3
xói	x oi_T3
xóm	x o1_T3 m
xót	x o1_T3 t
xôi	x oi2_T1
xông	x o2_T1 ng
xúc	x u1_T3 k
xăng	x a2_T1 ng
xư	x u2_T1
xưa	x ua2_T1
xưng	x u2_T1 ng
xương	x ua2_T1 ng
xứng	x u2_T1 ng
xướng	x ua2_T3 ng
xưởng	x ua2_T4 ng
xạc	x a1_T6 k
xạo	x ao_T6
xảo	x ao_T4
xảy	x ay_T4
xấu	x au3_T3
xế	x e2_T3
xếp	x e2_T3 p
xở	x o3_T4
xứ	x u2_T3
xứng	x u2_T3 ng
xử	x u2_T4
y	i_T1
yalman	i_T1 o1_T3 m a1_T1 n
yemen	i_T1 e1_T1 m e1_T1 n
york	i_T1 o1_T1 r k
yougov	i_T1 o2_T1 u1_T1 g o2_T3 p v
young	i_T1 o2_T1 u1_T1 ng
yytế	i_T1 i_T1 t e2_T3
yên	i_T1 e2_T1 n
yêu	i_T1 e2_T1 u1_T1
yếu	i_T1 e2_T1 u1_T1
yến	i_T1 e2_T3 n
yếu	i_T1 eu_T3
zara	x a1_T1 d1 a1_T1
zareh	d1 o2_T1 t
zaynab	x ay_T1 n ay3_T1 b
zealand	x e2_T1 a1_T1 l a1_T1 n d2 e2_T1
zelenskiy	x e2_T1 l e1_T1 n s k i_T1 i_T1
zoanne	x oa_T1 n n e1_T1
zolenskiy	x o2_T1 l e1_T1 n s k i_T1 i_T1
zone	x o1_T1 n e1_T1
ào	ao_T2
á	a1_T3
ác	a1_T3 k
ái	ai_T3
ám	a1_T3 m
án	a1_T3 n
ánh	a1_T3 nh
áo	ao_T3
áp	a1_T3 p
âm	a3_T1 m
âu	au3_T1
ấn	a3_T1 n
ấu	au3_T1
ấy	ay3_T1
ẩm	a3_T1 m
ên	e2_T1 n
ích	i_T3 ch
ít	i_T3 t
ô	o2_T1
ôg	o2_T1 j i_T1
ôi	oi2_T1
ôm	o2_T1 m
ôn	o2_T1 n
ông	o2_T1 ng
ồn	o2_T1 n
ốc	o2_T1 k
ổn	o2_T1 n
ùa	ua_T2
ùm	u1_T2 m
ùn	u1_T2 n
úa	ua_T3
úc	u1_T3 k
ý	i_T3
ăn	a2_T1 n
đ	d2
đa	d2 a1_T1
đagn	d2 a1_T1 g n
đai	d2 ai_T1
đam	d2 a1_T1 m
đang	d2 a1_T1 ng
đau	d2 au_T1
đài	d2 ai_T1
đàm	d2 a1_T1 m
đàn	d2 a1_T1 n
đàng	d2 a1_T1 ng
đành	d2 a1_T1 nh
đào	d2 ao_T1
đáng	d2 a1_T1 ng
đánh	d2 a1_T1 nh
đáp	d2 a1_T1 p
đãi	d2 ai_T1
đảm	d2 a1_T1 m
đảng	d2 a1_T1 ng
đảo	d2 ao_T1
đại	d2 ai_T1
đạn	d2 a1_T1 n
đạo	d2 ao_T1
đạt	d2 a1_T1 t
đe	d2 e1_T1
đem	d2 e1_T1 m
đen	d2 e1_T1 n
đeo	d2 eo_T1
đẹp	d2 e2_T2 p
đi	d2 i_T1
đia	d2 i_T1 a1_T1
điên	d2 ie2_T1 n
điều	d2 ieu_T1
điểm	d2 ie2_T1 m
điển	d2 ie2_T1 n
điện	d2 ie2_T1 n
điệp	d2 ie2_T1 p
điệu	d2 ieu_T1
đình	d2 i_T1 nh
đích	d2 ch
đỉnh	d2 i_T1 nh
địa	d2 i_T1 a1_T1
định	d2 i_T1 nh
điạ	d2 a1_T6
điềm	d2 ie2_T2 m
điền	d2 ie2_T2 n
điều	d2 ieu_T2
điểm	d2 ie2_T4 m
điển	d2 ie2_T4 n
điễn	d2 ie2_T5 n
điện	d2 ie2_T6 n
điệp	d2 ie2_T6 p
điệu	d2 ieu_T6
đo	d2 o1_T1
đoan	d2 oa_T1 n
đoàn	d2 oa_T1 n
đoán	d2 oa_T1 n
đoạn	d2 oa_T1 n
đoàn	d2 oa_T2 n
đoàng	d2 oa_T2 ng
đoán	d2 oa_T3 n
đòi	d2 oi_T1
đói	d2 oi_T1
đóng	d2 o1_T1 ng
đoạn	d2 oa_T6 n
đu	d2 u1_T1
đua	d2 ua_T1
đúng	d2 u1_T1 ng
đũa	d2 ua_T1
đuối	d2 uoi2_T3
đuổi	d2 uoi2_T4
đà	d2 a1_T2
đài	d2 ai_T2
đàm	d2 a1_T2 m
đàn	d2 a1_T2 n
đàng	d2 a1_T2 ng
đào	d2 ao_T2
đá	d2 a1_T3
đám	d2 a1_T3 m
đán	d2 a1_T3 n
đáng	d2 a1_T3 ng
đánh	d2 a1_T3 nh
đáo	d2 ao_T3
đáp	d2 a1_T3 p
đáy	d2 ay_T3
đâm	d2 a3_T1 m
đâu	d2 au3_T1
đây	d2 ay3_T1
đầu	d2 au3_T1
đầy	d2 ay3_T1
đấn	d2 a3_T1 n
đất	d2 a3_T1 t
đấu	d2 au3_T1
đấy	d2 ay3_T1
đẫm	d2 a3_T1 m
đẩy	d2 ay3_T1
đậm	d2 a3_T1 m
đập	d2 a3_T1 p
đã	d2 a1_T5
đãi	d2 ai_T5
đê	d2 e2_T1
đêm	d2 e2_T1 m
đều	d2 e2_T1 u1_T1
đếm	d2 e2_T1 m
đến	d2 e2_T1 n
đình	d2 i_T2 nh
đích	d2 i_T3 ch
đòi	d2 oi_T2
đó	d2 o1_T3
đói	d2 oi_T3
đóm	d2 o1_T3 m
đón	d2 o1_T3 n
đóng	d2 o1_T3 ng
đô	d2 o2_T1
đôi	d2 oi2_T1
đôla	d2 o2_T1 l a1_T1
đôn	d2 o2_T1 n
đông	d2 o2_T1 ng
đồn	d2 o2_T1 n
đồng	d2 o2_T1 ng
đốc	d2 o2_T1 k
đối	d2 oi2_T1
đốt	d2 o2_T1 t
đổi	d2 oi2_T1
độc	d2 o2_T1 k
đội	d2 oi2_T1
động	d2 o2_T1 ng
đột	d2 o2_T1 t
đùa	d2 ua_T2
đùi	d2 ui_T2
đùm	d2 u1_T2 m
đùng	d2 u1_T2 ng
đúc	d2 u1_T3 k
đúng	d2 u1_T3 ng
đăng	d2 a2_T1 ng
đắc	d2 a2_T1 k
đắn	d2 a2_T1 n
đẳng	d2 a2_T1 ng
đặc	d2 a2_T1 k
đặt	d2 a2_T1 t
đơ	d2 o3_T1
đơn	d2 o3_T1 n
đời	d2 oi3_T1
đới	d2 oi3_T1
đợi	d2 oi3_T1
đưa	d2 ua2_T1
đương	d2 ua2_T1 ng
đường	d2 ua2_T1 ng
được	d2 ua2_T1 k
đừng	d2 u2_T1 ng
đứa	d2 ua2_T1
đức	d2 u2_T1 k
đứng	d2 u2_T1 ng
đứt	d2 u2_T1 t
đựng	d2 u2_T1 ng
đường	d2 ua2_T2 ng
được	d2 ua2_T6 k
đại	d2 ai_T6
đạn	d2 a1_T6 n
đạo	d2 ao_T6
đạp	d2 a1_T6 p
đạt	d2 a1_T6 t
đảm	d2 a1_T4 m
đản	d2 a1_T4 n
đảng	d2 a1_T4 ng
đảo	d2 ao_T4
đất	d2 a3_T3 t
đấu	d2 au3_T3
đấy	d2 ay3_T3
đần	d2 a3_T2 n
đầu	d2 au3_T2
đầy	d2 ay3_T2
đẩy	d2 ay3_T4
đập	d2 a3_T6 p
đậu	d2 au3_T6
đắc	d2 a2_T3 k
đắm	d2 a2_T3 m
đắn	d2 a2_T3 n
đắp	d2 a2_T3 p
đắt	d2 a2_T3 t
đằng	d2 a2_T2 ng
đẳng	d2 a2_T4 ng
đẵ	d2 a2_T5
đặc	d2 a2_T6 k
đặn	d2 a2_T6 n
đặng	d2 a2_T6 ng
đặt	d2 a2_T6 t
đẹp	d2 e1_T6 p
đếm	d2 e2_T3 m
đến	d2 e2_T3 n
đề	d2 e2_T2
đền	d2 e2_T2 n
đều	d2 eu_T2
để	d2 e2_T4
đệ	d2 e2_T6
đỉnh	d2 i_T4 nh
địa	d2 i_T6 a1_T1
địch	d2 i_T6 ch
định	d2 i_T6 nh
đọc	d2 o1_T6 k
đỏ	d2 o1_T4
đốc	d2 o2_T3 k
đối	d2 oi2_T3
đống	d2 o2_T3 ng
đốt	d2 o2_T3 t
đồ	d2 o2_T2
đồn	d2 o2_T2 n
đồng	d2 o2_T2 ng
đổ	d2 o2_T4
đổi	d2 oi2_T4
đỗ	d2 o2_T5
độ	d2 o2_T6
độc	d2 o2_T6 k
đội	d2 oi2_T6
độn	d2 o2_T6 n
động	d2 o2_T6 ng
đột	d2 o2_T6 t
đớn	d2 o3_T3 n
đời	d2 oi3_T2
đỡ	d2 o3_T5
đợi	d2 oi3_T6
đợt	d2 o3_T6 t
đục	d2 u1_T6 k
đụng	d2 u1_T6 ng
đủ	d2 u1_T4
đứa	d2 ua2_T3
đức	d2 u2_T3 k
đứng	d2 u2_T3 ng
đứt	d2 u2_T3 t
đừ	d2 u2_T2
đừng	d2 u2_T2 ng
đựng	d2 u2_T6 ng
ơ	o3_T1
ơi	oi3_T1
ơn	o3_T1 n
ưa	ua2_T1
ưu	uu2_T1
ươm	ua2_T1 m
ương	ua2_T1 ng
ước	ua2_T1 k
ứng	u2_T1 ng
ước	ua2_T3 k
ướt	ua2_T3 t
ười	uoi3_T2
ả	a1_T4
ảnh	a1_T4 nh
ấm	a3_T3 m
ấn	a3_T3 n
ấp	a3_T3 p
ấu	au3_T3
ấy	ay3_T3
ẩm	a3_T4 m
ẩn	a3_T4 n
ề	e2_T2
ể	e2_T4
ốc	o2_T3 k
ốp	o2_T3 p
ồ	o2_T2
ồn	o2_T2 n
ổn	o2_T4 n
ổng	o2_T4 ng
ớ	o3_T3
ớt	o3_T3 t
ở	o3_T4
ục	u1_T6 k
ủi	ui_T4
ủng	u1_T4 ng
ủy	uy_T4
ứ	u2_T3
ức	u2_T3 k
ứng	u2_T3 ng
